user_id,period_start,period_end,total_revenue,total_expenses,payroll_expenses
1,1/1/2022,1/31/2022,55000,42000,30000
1,2/1/2022,2/28/2022,53000,43000,28000
1,3/1/2022,3/31/2022,49000,45000,28000
1,4/1/2022,4/30/2022,59000,42000,32000
1,5/1/2022,5/31/2022,58000,50000,30000
1,6/1/2022,6/30/2022,53000,55000,28000
1,7/1/2022,7/31/2022,55000,42000,28000
1,8/1/2022,8/31/2022,54000,43000,32000
1,9/1/2022,9/30/2022,59000,44000,32000
1,10/1/2022,10/31/2022,52000,47000,30000
1,11/1/2022,11/30/2022,55000,40000,28000
1,12/1/2022,12/31/2022,46000,45000,28000
1,1/1/2023,1/31/2023,59000,46000,32000
